Date,Close,Company,Open,High,Low,Adj Close,Volume
02/09/20,2128.199951,RELIANCE.NS,2092.0,2138.0,2085.0,2121.375732,12437162.0
03/09/20,2112.100098,RELIANCE.NS,2128.0,2138.75,2103.0,2105.327393,8577634.0
04/09/20,2077.25,RELIANCE.NS,2083.550049,2096.949951,2072.199951,2070.589111,13141644.0
07/09/20,2082.649902,RELIANCE.NS,2084.0,2105.75,2044.25,2075.97168,10119064.0
08/09/20,2107.100098,RELIANCE.NS,2092.0,2121.0,2080.5,2100.343506,12643749.0
09/09/20,2161.350098,RELIANCE.NS,2085.0,2167.800049,2081.449951,2154.419434,25525961.0
10/09/20,2314.0,RELIANCE.NS,2183.100098,2344.949951,2175.350098,2306.579834,64750460.0
11/09/20,2319.75,RELIANCE.NS,2312.0,2337.850098,2287.100098,2312.311523,27445768.0
14/09/20,2302.550049,RELIANCE.NS,2325.0,2360.0,2282.0,2295.166748,20335273.0
15/09/20,2318.850098,RELIANCE.NS,2311.949951,2325.75,2288.149902,2311.414551,12542824.0
16/09/20,2324.550049,RELIANCE.NS,2320.0,2369.350098,2310.550049,2317.096191,15668979.0
17/09/20,2298.75,RELIANCE.NS,2320.0,2333.699951,2291.850098,2291.378906,11919927.0
18/09/20,2305.699951,RELIANCE.NS,2314.25,2319.449951,2276.550049,2298.306396,15264068.0
21/09/20,2255.850098,RELIANCE.NS,2300.0,2336.0,2247.350098,2248.616455,15519031.0
22/09/20,2211.149902,RELIANCE.NS,2277.0,2277.0,2201.550049,2204.05957,16056620.0
23/09/20,2230.800049,RELIANCE.NS,2260.0,2276.75,2205.300049,2223.646729,19839282.0
24/09/20,2181.199951,RELIANCE.NS,2207.899902,2226.0,2176.050049,2174.205811,13764841.0
25/09/20,2201.699951,RELIANCE.NS,2189.0,2212.800049,2167.300049,2194.639893,13095028.0
28/09/20,2216.25,RELIANCE.NS,2227.0,2238.0,2207.050049,2209.143311,9076248.0
29/09/20,2245.050049,RELIANCE.NS,2225.0,2264.0,2216.25,2237.851074,11926328.0
30/09/20,2234.350098,RELIANCE.NS,2260.0,2267.0,2225.0,2227.185303,11290667.0
01/10/20,2225.25,RELIANCE.NS,2263.800049,2263.800049,2214.0,2218.114502,9591456.0
05/10/20,2212.199951,RELIANCE.NS,2244.0,2249.149902,2206.0,2205.106201,8732869.0
06/10/20,2210.350098,RELIANCE.NS,2225.25,2233.899902,2201.649902,2203.262451,8497216.0
07/10/20,2257.5,RELIANCE.NS,2235.0,2309.0,2220.0,2250.260986,24538346.0
08/10/20,2239.25,RELIANCE.NS,2259.0,2268.0,2222.100098,2232.06958,9727405.0
09/10/20,2233.449951,RELIANCE.NS,2235.0,2253.0,2217.100098,2226.288086,8558745.0
12/10/20,2237.050049,RELIANCE.NS,2235.0,2255.75,2226.25,2229.876709,6565515.0
13/10/20,2280.699951,RELIANCE.NS,2230.600098,2285.75,2225.850098,2273.386719,10666190.0
14/10/20,2287.5,RELIANCE.NS,2278.899902,2304.0,2268.5,2280.164795,12341434.0
15/10/20,2206.5,RELIANCE.NS,2290.0,2290.0,2195.0,2199.424561,9246702.0
16/10/20,2175.800049,RELIANCE.NS,2215.0,2232.5,2172.649902,2168.822998,9960828.0
19/10/20,2176.199951,RELIANCE.NS,2190.050049,2228.699951,2155.149902,2169.22168,14398973.0
20/10/20,2155.899902,RELIANCE.NS,2179.0,2193.0,2152.25,2148.986816,8529573.0
21/10/20,2124.600098,RELIANCE.NS,2168.0,2192.0,2097.75,2117.787354,15728986.0
22/10/20,2106.949951,RELIANCE.NS,2127.399902,2132.5,2091.0,2100.193848,14215215.0
23/10/20,2113.050049,RELIANCE.NS,2106.0,2135.0,2096.399902,2106.274414,10809307.0
26/10/20,2029.099976,RELIANCE.NS,2101.949951,2101.949951,2018.5,2022.593384,17225212.0
27/10/20,2034.5,RELIANCE.NS,2034.900024,2059.850098,2005.0,2027.976196,16835005.0
28/10/20,2011.449951,RELIANCE.NS,2041.800049,2057.699951,2007.400024,2005.0,13809929.0
29/10/20,2026.900024,RELIANCE.NS,1997.0,2042.0,1991.0,2020.400513,14147418.0
30/10/20,2054.5,RELIANCE.NS,2033.5,2065.100098,2021.800049,2047.911987,15700946.0
02/11/20,1877.449951,RELIANCE.NS,2027.0,2027.0,1859.150024,1871.429688,45857806.0
03/11/20,1850.400024,RELIANCE.NS,1890.0,1909.0,1835.099976,1844.466553,40931170.0
04/11/20,1913.199951,RELIANCE.NS,1837.0,1929.0,1837.0,1907.065063,37003111.0
05/11/20,1955.0,RELIANCE.NS,1954.949951,1960.949951,1932.0,1948.731079,17170274.0
06/11/20,2029.150024,RELIANCE.NS,1990.0,2040.0,1978.150024,2022.643311,30770080.0
09/11/20,2050.699951,RELIANCE.NS,2062.100098,2069.0,2036.0,2044.124146,16539467.0
10/11/20,2084.550049,RELIANCE.NS,2077.0,2090.0,2041.199951,2077.865723,17045147.0
11/11/20,1997.199951,RELIANCE.NS,2089.0,2095.0,1978.099976,1990.795654,26178477.0
12/11/20,1980.0,RELIANCE.NS,1981.0,2008.449951,1965.0,1973.650879,18481466.0
13/11/20,1996.400024,RELIANCE.NS,1982.0,2036.650024,1981.75,1989.998291,20946864.0
14/11/20,2002.300049,RELIANCE.NS,2014.900024,2015.300049,1995.349976,1995.879395,2411900.0
17/11/20,1993.25,RELIANCE.NS,2085.0,2085.0,1985.0,1986.858398,21479385.0
18/11/20,1987.199951,RELIANCE.NS,1993.25,2006.5,1960.099976,1980.827759,14030652.0
19/11/20,1973.150024,RELIANCE.NS,1987.199951,2010.449951,1968.199951,1966.822876,12828008.0
20/11/20,1899.5,RELIANCE.NS,1975.0,1983.800049,1895.0,1893.409058,26522972.0
23/11/20,1950.699951,RELIANCE.NS,1951.0,1970.0,1926.25,1944.444824,20918665.0
24/11/20,1964.050049,RELIANCE.NS,1964.0,1974.0,1932.0,1957.752075,14277083.0
25/11/20,1947.800049,RELIANCE.NS,1980.0,1992.949951,1942.199951,1941.554199,15062376.0
26/11/20,1952.599976,RELIANCE.NS,1953.050049,1965.0,1930.050049,1946.338745,11924527.0
27/11/20,1929.800049,RELIANCE.NS,1940.5,1956.099976,1921.400024,1923.611938,21845931.0
01/12/20,1954.900024,RELIANCE.NS,1940.349976,1966.25,1930.050049,1948.63147,9114939.0
02/12/20,1958.150024,RELIANCE.NS,1958.5,1962.0,1935.0,1951.870972,10240168.0
03/12/20,1964.050049,RELIANCE.NS,1972.0,1981.099976,1958.650024,1957.752075,12822945.0
04/12/20,1946.75,RELIANCE.NS,1969.0,1969.0,1940.0,1940.507568,8521388.0
07/12/20,1958.199951,RELIANCE.NS,1940.599976,1965.0,1940.599976,1951.920776,8418767.0
08/12/20,1993.75,RELIANCE.NS,1961.150024,2014.25,1950.0,1987.356812,20030506.0
09/12/20,2026.949951,RELIANCE.NS,2009.949951,2033.800049,1999.25,2020.450317,13464375.0
10/12/20,2007.0,RELIANCE.NS,2021.599976,2028.5,2001.0,2000.564331,7414229.0
11/12/20,2005.800049,RELIANCE.NS,2013.0,2038.0,1974.25,1999.368286,12434745.0
14/12/20,1991.300049,RELIANCE.NS,2007.949951,2015.0,1986.349976,1984.914673,7989830.0
15/12/20,1974.349976,RELIANCE.NS,1989.699951,1989.699951,1961.099976,1968.019043,8561406.0
